age,gender,country,state,is_self_employed,family_history,treatment,work_interfere,num_employees,remote_work,is_tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_conseq,physical_health_conseq,coworkers,supervisor,mental_health_interview,physical_health_interview,mental_vs_physical,observed_consequence,age_group,continent,country_grouped
46,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Unknown,4,Unsure,No,Unsure,Yes,No,Unsure,No,No,45-54,North America,United States
41,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Unknown,No,No,Unknown,Unknown,4,Unsure,No,No,No,No,Yes,Unknown,No,35-44,North America,United States
33,Male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Unknown,Unknown,Yes,Yes,4,No,No,Yes,Yes,No,Yes,Unknown,No,25-34,North America,United States
35,Male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Unknown,No,0,Yes,No,Unsure,Yes,No,Yes,No,No,35-44,North America,United States
33,Male,United States,TN,No,No,No,Unknown,1-5,No,Yes,Unknown,Unknown,No,Unknown,Unknown,4,Unsure,Unsure,Unsure,No,No,No,Unknown,No,25-34,North America,United States
35,Female,United States,CA,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,4,No,No,Yes,Yes,Unsure,Unsure,Yes,No,35-44,North America,United States
34,Male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,2,No,No,Unsure,No,No,No,No,No,25-34,North America,United States
37,Male,United Kingdom,UNKNOWN,No,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,3,Yes,Unsure,Unsure,No,No,Unsure,No,No,35-44,Europe,United Kingdom
32,Male,United Kingdom,UNKNOWN,No,No,No,Never,6-25,Yes,Yes,No,No,No,No,Unknown,4,Yes,Yes,Unsure,Unsure,No,Unsure,No,No,25-34,Europe,United Kingdom
31,Male,United States,PA,Yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Unknown,2,Yes,No,No,No,No,No,No,Yes,25-34,North America,United States
30,Male,United Kingdom,UNKNOWN,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Unknown,No,No,No,Yes,1,Unsure,No,Unsure,Yes,No,Yes,Unknown,No,25-34,Europe,United Kingdom
42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Unsure,No,Unsure,Unsure,Unsure,Yes,Unknown,No,35-44,North America,United States
40,Female,United States,WI,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,Unknown,4,Unsure,No,Unsure,No,No,Unsure,Yes,No,35-44,North America,United States
27,Male,United States,NY,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Unknown,0,No,No,Yes,Yes,Unsure,Unsure,Unknown,No,25-34,North America,United States
29,Male,Canada,UNKNOWN,No,No,No,Rarely,1-5,No,Yes,No,No,No,No,Unknown,0,Yes,Unsure,Unsure,No,No,No,Unknown,No,25-34,North America,Canada
38,Male,Portugal,UNKNOWN,No,No,No,Unknown,100-500,No,Yes,No,Yes,No,No,Unknown,1,Unsure,No,Unsure,Unsure,No,Unsure,No,No,35-44,Europe,Other
50,Male,United States,IN,No,No,No,Unknown,100-500,No,Yes,Yes,Yes,No,Unknown,Unknown,4,No,No,Unsure,Yes,No,Unsure,Unknown,No,45-54,North America,United States
35,Male,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,0,No,No,Yes,Yes,Unsure,Unsure,Yes,No,35-44,North America,United States
24,Male,United Kingdom,UNKNOWN,No,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,4,Unsure,Unsure,Unsure,No,No,Yes,No,Yes,18-24,Europe,United Kingdom
35,Male,United States,MI,No,No,No,Unknown,More than 1000,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,2,Yes,Yes,Unsure,No,No,Unsure,Unknown,No,35-44,North America,United States
27,Male,Canada,UNKNOWN,No,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,3,Unsure,No,Unsure,No,No,No,Yes,No,25-34,North America,Canada
18,Male,Netherlands,UNKNOWN,No,No,No,Often,6-25,No,Yes,No,Unknown,No,No,Unknown,2,Yes,Unsure,No,Unsure,No,No,No,No,18-24,Europe,Netherlands
30,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,4,No,No,No,No,No,Unsure,Unknown,No,25-34,North America,United States
38,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,1,No,No,Unsure,Yes,No,No,Yes,No,35-44,North America,United States
28,Male,United Kingdom,UNKNOWN,No,No,No,Unknown,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,4,No,Unsure,Unsure,Yes,Unsure,Yes,Unknown,No,25-34,Europe,United Kingdom
34,Male,United States,TN,No,No,No,Unknown,6-25,No,Yes,No,No,No,No,Unknown,4,No,No,Yes,Yes,Unsure,Yes,Unknown,No,25-34,North America,United States
26,Male,Canada,UNKNOWN,Yes,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,Unknown,4,No,No,Yes,Yes,No,No,Yes,No,25-34,North America,Canada
30,Male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Unknown,Unknown,4,Unsure,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,United States
22,Male,United States,TX,No,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,3,Unsure,No,No,No,No,Unsure,Unknown,No,18-24,North America,United States
33,Male,United States,UT,No,No,No,Unknown,100-500,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,4,No,No,Unsure,Yes,Unsure,Unsure,Unknown,No,25-34,North America,United States
31,Male,United States,UNKNOWN,No,No,No,Unknown,100-500,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,4,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unknown,No,25-34,North America,United States
32,Male,United States,TN,No,No,No,Never,1-5,Yes,Yes,Unknown,Unknown,No,No,Unknown,4,Unsure,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,United States
28,Male,Switzerland,UNKNOWN,No,No,No,Unknown,100-500,No,Yes,No,No,No,No,Unknown,4,No,No,No,No,No,Unsure,Unknown,No,25-34,Europe,Other
27,Male,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,4,Unsure,No,No,No,No,No,Unknown,No,25-34,North America,United States
32,Male,United States,TN,No,Yes,No,Unknown,6-25,Yes,Yes,Unknown,No,No,No,Unknown,1,No,No,Yes,Yes,No,No,Yes,No,25-34,North America,United States
24,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Unknown,No,No,No,Unknown,4,No,Unsure,Unsure,Yes,Yes,Yes,No,No,18-24,North America,United States
26,Male,United States,TN,No,No,No,Unknown,26-100,No,No,No,No,No,No,Yes,1,No,No,Unsure,Yes,Unsure,Yes,Unknown,No,25-34,North America,United States
33,Male,Canada,UNKNOWN,No,Yes,Yes,Often,6-25,Yes,Yes,Unknown,No,No,No,No,2,Yes,No,No,No,No,Unsure,Unknown,No,25-34,North America,Canada
44,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Unknown,Unknown,4,Yes,Unsure,Unsure,No,No,Unsure,Unknown,Yes,35-44,North America,United States
26,Female,Poland,UNKNOWN,No,No,Yes,Sometimes,26-100,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,0,No,No,Yes,Yes,Unsure,Yes,Yes,No,25-34,Europe,Other
27,Male,United Kingdom,UNKNOWN,No,No,No,Never,100-500,No,Yes,Yes,Unknown,No,Yes,Unknown,1,No,No,Yes,Yes,Unsure,Unsure,Yes,No,25-34,Europe,United Kingdom
26,Male,France,UNKNOWN,No,No,No,Unknown,26-100,No,Yes,No,No,No,No,Unknown,0,Yes,No,No,No,No,No,No,Yes,25-34,Europe,France
35,Male,Canada,UNKNOWN,No,No,No,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,1,No,No,Unsure,Yes,No,Unsure,Unknown,No,35-44,North America,Canada
40,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,4,Yes,Unsure,Unsure,No,No,No,No,Yes,35-44,North America,United States
23,Female,Australia,UNKNOWN,No,Yes,Yes,Often,1-5,Yes,Yes,No,Unknown,No,No,Unknown,0,No,No,Unsure,Yes,No,Unsure,Yes,No,18-24,Oceania,Australia
36,Male,United States,TX,No,No,No,Sometimes,100-500,Yes,Yes,Yes,No,Unknown,Yes,Unknown,4,Unsure,No,Unsure,Unsure,Unsure,Yes,Yes,No,35-44,North America,United States
31,Female,United States,NM,No,No,No,Unknown,26-100,Yes,No,Unknown,No,Unknown,Unknown,Unknown,4,Unsure,No,Unsure,No,No,Unsure,Unknown,No,25-34,North America,United States
34,Male,United States,NY,Yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,Unknown,4,Unsure,No,Unsure,No,No,No,Unknown,No,25-34,North America,United States
28,Male,France,UNKNOWN,No,No,No,Never,26-100,No,Yes,No,No,No,No,Unknown,4,Unsure,No,Unsure,Unsure,No,No,Unknown,No,25-34,Europe,France
34,Male,Canada,UNKNOWN,No,No,No,Never,6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,1,No,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,Canada
23,Others,United States,MA,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,2,Unsure,No,Yes,Yes,No,No,No,No,18-24,North America,United States
38,Male,United Kingdom,UNKNOWN,No,No,No,Unknown,26-100,No,Yes,No,No,No,Unknown,Yes,1,No,No,Unsure,Yes,Unsure,Yes,Yes,No,35-44,Europe,United Kingdom
33,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,4,Unsure,No,Unsure,Unsure,No,Unsure,Yes,No,25-34,North America,United States
19,Male,United Kingdom,UNKNOWN,No,No,No,Unknown,1-5,No,Yes,No,Yes,No,No,No,2,Yes,No,No,No,No,Unsure,No,No,18-24,Europe,United Kingdom
25,Male,United States,WA,No,No,No,Unknown,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,4,No,No,Yes,Yes,Unsure,Yes,Yes,No,25-34,North America,United States
31,Male,United States,WA,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,2,No,No,Yes,Yes,Unsure,Unsure,Yes,No,25-34,North America,United States
32,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,Unknown,2,Yes,No,Unsure,No,No,Yes,No,No,25-34,North America,United States
28,Male,Germany,UNKNOWN,No,No,No,Never,6-25,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,0,No,No,Unsure,Unsure,Unsure,Yes,Yes,No,25-34,Europe,Germany
38,Male,United States,NY,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,Unknown,4,No,No,Yes,Unsure,Unsure,Unsure,Yes,No,35-44,North America,United States
23,Male,United Kingdom,UNKNOWN,No,No,No,Never,26-100,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,0,No,No,Unsure,Yes,Unsure,Unsure,Yes,No,18-24,Europe,United Kingdom
30,Male,Canada,UNKNOWN,No,No,No,Never,26-100,No,No,No,No,No,No,Unknown,4,No,No,Unsure,Yes,No,No,No,No,25-34,North America,Canada
27,Female,United States,NY,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Unsure,Unsure,Unsure,Yes,No,Unsure,Yes,No,25-34,North America,United States
33,Male,United States,CA,No,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,Unknown,4,Yes,No,No,No,No,Unsure,No,No,25-34,North America,United States
31,Male,United States,TX,No,No,No,Unknown,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,4,No,No,Unsure,Yes,Unsure,Unsure,No,No,25-34,North America,United States
39,Male,United Kingdom,UNKNOWN,Yes,No,Yes,Often,6-25,No,Yes,No,No,No,No,Unknown,3,Unsure,No,Unsure,No,No,Unsure,No,Yes,35-44,Europe,United Kingdom
34,Female,United States,OR,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Unknown,No,Unknown,Unknown,4,Yes,Unsure,Unsure,Unsure,No,No,Unknown,No,25-34,North America,United States
29,Female,United States,FL,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Unknown,4,Unsure,No,Unsure,Unsure,No,Unsure,No,Yes,25-34,North America,United States
32,Male,United States,IL,No,No,No,Unknown,500-1000,No,Yes,Unknown,No,No,Unknown,Unknown,4,No,No,Unsure,Unsure,No,No,Unknown,No,25-34,North America,United States
31,Male,United States,NY,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,1,No,No,Unsure,Yes,No,No,Yes,No,25-34,North America,United States
40,Male,United States,TX,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,3,No,No,Yes,Yes,Yes,Yes,No,No,35-44,North America,United States
34,Male,United States,OH,No,No,No,Unknown,26-100,No,Yes,Unknown,No,No,No,Unknown,1,Unsure,No,Unsure,No,No,Unsure,Unknown,No,25-34,North America,United States
18,Male,Russia,UNKNOWN,No,No,No,Unknown,26-100,Yes,Yes,Yes,Yes,No,No,Yes,1,No,No,Yes,Yes,Yes,Yes,Unknown,No,18-24,Europe,Other
25,Female,Canada,UNKNOWN,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Unknown,Unknown,4,Unsure,No,Unsure,Yes,No,Unsure,Unknown,No,25-34,North America,Canada
29,Male,United States,MN,No,No,No,Never,26-100,No,Yes,Unknown,No,No,Unknown,Unknown,4,No,No,Yes,Yes,Unsure,Unsure,No,No,25-34,North America,United States
24,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,Unknown,Unknown,No,Unknown,Unknown,1,Unsure,Unsure,Unsure,No,No,Unsure,Unknown,No,18-24,North America,United States
31,Male,Mexico,UNKNOWN,No,Yes,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,4,No,No,Unsure,Yes,Unsure,Yes,No,No,25-34,North America,Other
33,Male,United States,AZ,No,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,Unknown,1,Unsure,No,Unsure,No,No,Unsure,No,No,25-34,North America,United States
30,Male,United States,IN,No,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,1,No,No,Yes,Yes,Unsure,Unsure,Yes,No,25-34,North America,United States
26,Female,Canada,UNKNOWN,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,3,Yes,No,No,No,No,Unsure,No,Yes,25-34,North America,Canada
44,Female,United States,MA,No,No,No,Never,100-500,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,4,Unsure,Unsure,No,Unsure,No,No,Unknown,No,35-44,North America,United States
25,Male,United States,NY,No,Yes,No,Unknown,26-100,No,Yes,Unknown,No,Unknown,Unknown,Unknown,0,No,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,United States
33,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,No,Unsure,Yes,Unsure,Unsure,Yes,No,25-34,North America,United States
29,Male,United States,NY,No,No,No,Never,More than 1000,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,1,No,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,United States
35,Male,United States,MO,No,Yes,No,Rarely,6-25,No,Yes,Yes,Unknown,No,No,Yes,1,No,No,Unsure,Yes,No,No,Unknown,No,35-44,North America,United States
35,Male,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,No,Unknown,1,No,No,Unsure,Yes,No,Unsure,No,No,35-44,North America,United States
28,Male,Brazil,UNKNOWN,No,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,4,Unsure,No,Yes,Yes,No,No,Unknown,Yes,25-34,South America,Other
34,Male,United States,TN,No,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,Unknown,4,Unsure,No,No,No,No,No,Unknown,No,25-34,North America,United States
32,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,2,Unsure,No,Unsure,Yes,No,Unsure,Yes,No,25-34,North America,United States
22,Male,United States,NY,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,Unknown,Yes,4,Yes,No,No,No,No,Yes,No,No,18-24,North America,United States
28,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,1,No,No,Unsure,Unsure,No,Unsure,Yes,No,25-34,North America,United States
45,Male,United States,MO,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,No,45-54,North America,United States
32,Male,United States,NY,No,No,No,Never,100-500,No,Yes,Yes,Yes,No,Unknown,Unknown,4,Unsure,No,Unsure,Unsure,No,No,Unknown,No,25-34,North America,United States
28,Male,United States,TX,No,No,No,Unknown,More than 1000,No,Yes,Unknown,No,No,Unknown,Unknown,4,Unsure,No,Unsure,No,No,Unsure,Unknown,No,25-34,North America,United States
26,Male,United Kingdom,UNKNOWN,No,No,No,Never,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,0,No,No,Unsure,Unsure,No,No,Unknown,Yes,25-34,Europe,United Kingdom
21,Male,United Kingdom,UNKNOWN,Yes,No,No,Often,1-5,Yes,No,No,Yes,No,No,Yes,3,Yes,No,Unsure,Yes,No,Unsure,No,No,18-24,Europe,United Kingdom
27,Male,Canada,UNKNOWN,No,No,No,Rarely,6-25,No,No,Yes,Yes,Yes,Yes,Yes,0,Unsure,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,Canada
18,Male,United States,CT,No,No,Yes,Rarely,1-5,Yes,Yes,No,No,No,No,Yes,0,No,No,Unsure,No,No,No,Unknown,No,18-24,North America,United States
35,Male,United States,CO,No,No,No,Unknown,26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,4,No,No,Unsure,Yes,Unsure,Unsure,Unknown,No,35-44,North America,United States
29,Male,United States,GA,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Unknown,4,Yes,Yes,No,No,No,No,Unknown,No,25-34,North America,United States
25,Male,United States,DC,No,No,No,Unknown,26-100,Yes,Yes,Unknown,No,No,No,Unknown,0,No,No,Unsure,Yes,No,No,Unknown,No,25-34,North America,United States
33,Male,United States,MN,No,Yes,Yes,Sometimes,6-25,Yes,Yes,Unknown,No,Unknown,Unknown,Yes,0,No,No,Yes,Yes,No,Unsure,Yes,No,25-34,North America,United States
36,Male,United States,WA,No,No,No,Often,6-25,No,Yes,Yes,No,No,No,Yes,4,Unsure,No,No,No,No,No,Unknown,No,35-44,North America,United States
27,Male,Canada,UNKNOWN,No,No,Yes,Never,100-500,No,No,Yes,Unknown,No,No,Unknown,3,Unsure,No,Unsure,Yes,No,Unsure,No,Yes,25-34,North America,Canada
27,Male,United States,WA,No,Yes,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,Yes,4,Yes,No,Unsure,No,No,Yes,Unknown,No,25-34,North America,United States
27,Male,United Kingdom,UNKNOWN,No,No,No,Unknown,6-25,No,Yes,No,No,No,No,Unknown,4,No,No,Unsure,Unsure,No,No,Unknown,No,25-34,Europe,United Kingdom
32,Male,United States,OR,No,No,Yes,Rarely,100-500,No,Yes,Yes,Yes,No,Yes,Yes,4,Yes,No,No,Yes,No,No,Unknown,No,25-34,North America,United States
31,Male,United Kingdom,UNKNOWN,No,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,1,Unsure,Unsure,No,No,No,No,Yes,No,25-34,Europe,United Kingdom
19,Male,Slovenia,UNKNOWN,No,No,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,1,Yes,Yes,Unsure,No,No,No,Unknown,No,18-24,Europe,Other
33,Male,United States,IL,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,No,Unknown,0,Unsure,No,Yes,Unsure,No,Yes,No,No,25-34,North America,United States
32,Male,United States,CA,No,No,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Unknown,3,Unsure,No,Yes,Unsure,No,Yes,Unknown,No,25-34,North America,United States
27,Male,United States,NE,No,No,No,Never,26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,4,No,No,Yes,Yes,Unsure,Unsure,Unknown,No,25-34,North America,United States
38,Male,Costa Rica,UNKNOWN,No,No,No,Unknown,26-100,Yes,Yes,No,Yes,No,No,Yes,1,No,No,Yes,Yes,Unsure,Yes,No,No,35-44,North America,Other
24,Male,Canada,UNKNOWN,No,No,Yes,Never,26-100,No,Yes,Unknown,No,No,No,Unknown,4,No,No,Unsure,Yes,Unsure,Yes,Unknown,No,18-24,North America,Canada
39,Male,United Kingdom,UNKNOWN,No,No,No,Never,26-100,No,No,No,No,No,No,Unknown,4,Yes,Unsure,No,No,No,No,Unknown,No,35-44,Europe,United Kingdom
28,Male,United Kingdom,UNKNOWN,No,No,No,Never,6-25,No,Yes,Unknown,No,No,No,Yes,0,No,No,Unsure,Yes,Unsure,Unsure,Yes,No,25-34,Europe,United Kingdom
39,Male,United States,IA,No,No,Yes,Often,More than 1000,No,Yes,Yes,Unknown,No,No,Unknown,1,No,No,Yes,Yes,No,No,Unknown,No,35-44,North America,United States
29,Female,United States,MD,No,No,No,Unknown,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,1,Unsure,No,Unsure,No,No,No,Unknown,No,25-34,North America,United States
22,Male,Austria,UNKNOWN,No,No,No,Unknown,6-25,Yes,Yes,Unknown,No,Unknown,No,Unknown,1,No,No,Unsure,Unsure,No,No,Unknown,No,18-24,Europe,Other
38,Male,United States,OR,No,Yes,Yes,Sometimes,100-500,No,Yes,Unknown,No,Unknown,Unknown,Unknown,4,Unsure,No,Unsure,Yes,No,No,Unknown,No,35-44,North America,United States
37,Male,United Kingdom,UNKNOWN,Yes,No,Yes,Sometimes,More than 1000,No,No,No,Yes,Yes,Yes,Yes,3,Yes,Yes,Unsure,No,No,Unsure,Yes,No,35-44,Europe,United Kingdom
35,Male,United States,TX,No,No,No,Never,26-100,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,4,Yes,No,Unsure,No,No,Unsure,Unknown,No,35-44,North America,United States
,Male,United States,MN,No,No,No,Unknown,More than 1000,Yes,No,Yes,No,Unknown,Yes,Unknown,4,No,No,Unsure,Yes,No,No,Unknown,No,,North America,United States
30,Female,United States,PA,No,Yes,No,Unknown,More than 1000,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,4,Unsure,Unsure,Unsure,Unsure,No,Unsure,Unknown,No,25-34,North America,United States
